id,table,question,opt1,opt2,opt3,opt4,answer,explanation
E4-01,"社員名,時給,実働時間,基本賃金|大川,1240,125,|木山,1070,150,","【処理条件】<br>基本賃金＝時給×実働時間<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2",1,"正解：=B2*C2（時給と実働時間を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
E4-02,"社員名,基本賃金,乗率,勤勉手当|大川,155000,4%,|木山,160500,6%,","【処理条件】<br>勤勉手当＝基本賃金×乗率<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2",1,"正解：=B2*C2（基本賃金と乗率を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
E4-03,"社員名,基本賃金,勤勉手当,支給総額|大川,155000,6200,|木山,160500,9630,","【処理条件】<br>支給総額＝基本賃金＋勤勉手当<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2*C2","=B2-C2","=B2/C2",1,"正解：=B2+C2（基本賃金と勤勉手当を足し算します）<br><br>【その他の選択肢】<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
E4-04,"商品名,売価,販売数,販売額|A,2980,37,|B,1960,43,","【処理条件】<br>販売額＝売価×販売数<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2",1,"正解：=B2*C2（売価と販売数を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
E4-05,"商品名,販売額,消費税|A,110260,|B,84280,","【処理条件】<br>消費税＝販売額×10%<br><br>セルC2に入力する数式として正しいものを選びなさい。","=B2*10%","=B2+10%","=B2/10%","=B2-10%",1,"正解：=B2*10%（販売額に10%を掛け算します。=B2*0.1も同じ意味です）<br><br>【その他の選択肢】<br>・=B2+10% は足し算のため不正解です。<br>・=B2/10% は割り算のため不正解です。<br>・=B2-10% は引き算のため不正解です。"
E4-06,"商品名,販売額,消費税,請求額|A,110260,11026,|B,84280,8428,","【処理条件】<br>請求額＝販売額＋消費税<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2-C2","=B2*C2","=B2/C2",1,"正解：=B2+C2（販売額と消費税を足し算します）<br><br>【その他の選択肢】<br>・=B2-C2 は引き算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
E4-07,"依頼先,加工単価,完成数,加工賃|朝日工業,138,3769,|東工作,194,3153,","【処理条件】<br>加工賃＝加工単価×完成数<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*C2","=B2+C2","=B2/C2","=B2-C2",1,"正解：=B2*C2（加工単価と完成数を掛け算します）<br><br>【その他の選択肢】<br>・=B2+C2 は足し算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。<br>・=B2-C2 は引き算のため不正解です。"
E4-08,"依頼先,加工単価,完成数,割増金|朝日工業,138,3769,|東工作,194,3153,","【処理条件】<br>割増金＝加工単価×0.5×(完成数－2800)<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2*0.5*(C2-2800)","=B2*0.5*C2-2800","=B2+0.5*(C2-2800)","=B2/0.5*(C2-2800)",1,"正解：=B2*0.5*(C2-2800)（括弧を用いて完成数から2800を先に引いた後、加工単価と0.5を掛け算します）<br><br>【その他の選択肢】<br>・=B2*0.5*C2-2800 は括弧がなく計算順序が変わるため不正解です。<br>・=B2+0.5*(C2-2800) は足し算が混ざっているため不正解です。<br>・=B2/0.5*(C2-2800) は割り算が混ざっているため不正解です。"
E4-09,"依頼先,加工賃,割増金,支払額|朝日工業,520122,66861,|東工作,611682,34241,","【処理条件】<br>支払額＝加工賃＋割増金<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2-C2","=B2*C2","=B2/C2",1,"正解：=B2+C2（加工賃と割増金を足し算します）<br><br>【その他の選択肢】<br>・=B2-C2 は引き算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
E4-10,"社員名,基準額,期末手当|青山,389000,|森,418000,","【処理条件】<br>期末手当＝基準額×1.8<br><br>セルC2に入力する数式として正しいものを選びなさい。","=B2*1.8","=B2+1.8","=B2/1.8","=B2-1.8",1,"正解：=B2*1.8（基準額に1.8を掛け算します）<br><br>【その他の選択肢】<br>・=B2+1.8 は足し算のため不正解です。<br>・=B2/1.8 は割り算のため不正解です。<br>・=B2-1.8 は引き算のため不正解です。"
E4-11,"社員名,査定A,査定B,勤勉手当|青山,85,70,|森,70,55,","【処理条件】<br>勤勉手当＝500×(査定A＋査定B)<br><br>セルD2に入力する数式として正しいものを選びなさい。","=500*(B2+C2)","=500*B2+C2","=500/(B2+C2)","=500+(B2+C2)",1,"正解：=500*(B2+C2)（括弧を用いて査定Aと査定Bを先に足した後、定数500を掛け算します）<br><br>【その他の選択肢】<br>・=500*B2+C2 は括弧がなく計算順序が変わるため不正解です。<br>・=500/(B2+C2) は割り算のため不正解です。<br>・=500+(B2+C2) は足し算のため不正解です。"
E4-12,"社員名,期末手当,勤勉手当,総支給額|青山,700200,77500,|森,752400,62500,","【処理条件】<br>総支給額＝期末手当＋勤勉手当<br><br>セルD2に入力する数式として正しいものを選びなさい。","=B2+C2","=B2-C2","=B2*C2","=B2/C2",1,"正解：=B2+C2（期末手当と勤勉手当を足し算します）<br><br>【その他の選択肢】<br>・=B2-C2 は引き算のため不正解です。<br>・=B2*C2 は掛け算のため不正解です。<br>・=B2/C2 は割り算のため不正解です。"
E4-13,"社員名,出張日数,出張手当|鈴木,4,|佐藤,5,","【処理条件】<br>出張手当＝3650×出張日数<br><br>セルC2に入力する数式として正しいものを選びなさい。","=3650*B2","=3650+B2","=3650/B2","=3650-B2",1,"正解：=3650*B2（定数3650と出張日数を掛け算します）<br><br>【その他の選択肢】<br>・=3650+B2 は足し算のため不正解です。<br>・=3650/B2 は割り算のため不正解です。<br>・=3650-B2 は引き算のため不正解です。"
E4-14,"社員名,走行距離,運転手当|鈴木,120,|佐藤,150,","【処理条件】<br>運転手当＝76×走行距離<br><br>セルC2に入力する数式として正しいものを選びなさい。","=76*B2","=76+B2","=76/B2","=76-B2",1,"正解：=76*B2（定数76と走行距離を掛け算します）<br><br>【その他の選択肢】<br>・=76+B2 は足し算のため不正解です。<br>・=76/B2 は割り算のため不正解です。<br>・=76-B2 は引き算のため不正解です。"
